Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-11,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,933,UK933,19.0,8.0,Asia,Kolkata,2021-09-11,15:49:00,2021-09-11,17:42:00,11-09-2021
2021-09-11,landed,Indira Gandhi International,DEL,Goa International,GOI,AirAsia India,I5,775,I5775,31.0,0.0,Asia,Kolkata,2021-09-11,12:25:00,2021-09-11,14:29:00,11-09-2021
2021-09-11,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Vistara,UK,747,UK747,15.0,9.0,Asia,Kolkata,2021-09-11,06:35:00,2021-09-11,08:28:00,11-09-2021
2021-09-11,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,2306,6E2306,65.0,30.0,Asia,Kolkata,2021-09-11,15:51:00,2021-09-11,17:39:00,11-09-2021
2021-09-11,landed,Indira Gandhi International,DEL,Hong Kong International,HKG,American Airlines,AA,8944,AA8944,0.0,0.0,Asia,Hong_Kong,2021-09-11,02:09:00,2021-09-11,09:30:00,11-09-2021
2021-09-11,landed,Indira Gandhi International,DEL,Borjhar,GAU,Vistara,UK,721,UK721,12.0,0.0,Asia,Kolkata,2021-09-11,15:12:00,2021-09-11,17:16:00,11-09-2021
2021-09-11,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,SpiceJet,SG,8701,SG8701,24.0,0.0,Asia,Kolkata,2021-09-11,07:14:00,2021-09-11,08:50:00,11-09-2021
2021-09-11,landed,Indira Gandhi International,DEL,Charles De Gaulle,CDG,Air India,AI,143,AI143,27.0,6.0,Europe,Paris,2021-09-11,02:07:00,2021-09-11,07:16:00,11-09-2021
2021-09-11,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,GoAir,G8,101,G8101,4.0,0.0,Asia,Kolkata,2021-09-11,05:49:00,2021-09-11,07:49:00,11-09-2021
2021-09-11,landed,Indira Gandhi International,DEL,Hyderabad Airport,HYD,IndiGo,6E,2331,6E2331,13.0,0.0,Asia,Kolkata,2021-09-11,07:23:00,2021-09-11,09:12:00,11-09-2021
2021-09-11,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5821,BA5821,13.0,0.0,Asia,Kolkata,2021-09-11,06:43:00,2021-09-11,07:54:00,11-09-2021
2021-09-11,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5823,BA5823,27.0,2.0,Asia,Kolkata,2021-09-11,09:12:00,2021-09-11,10:19:00,11-09-2021
2021-09-11,landed,Indira Gandhi International,DEL,Goa International,GOI,Vistara,UK,847,UK847,28.0,0.0,Asia,Kolkata,2021-09-11,11:37:00,2021-09-11,13:39:00,11-09-2021
2021-09-11,landed,Indira Gandhi International,DEL,Goa International,GOI,British Airways,BA,5871,BA5871,28.0,0.0,Asia,Kolkata,2021-09-11,11:37:00,2021-09-11,13:39:00,11-09-2021
2021-09-11,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Air India,AI,401,AI401,26.0,3.0,Asia,Kolkata,2021-09-11,07:25:00,2021-09-11,09:13:00,11-09-2021
