Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-21,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,British Airways,BA,5847,BA5847,7.0,0.0,Asia,Kolkata,2021-09-21,06:06:00,2021-09-21,07:46:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Vishakhapatnam,VTZ,Air India,AI,451,AI451,5.0,0.0,Asia,Kolkata,2021-09-21,15:05:00,2021-09-21,17:02:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,2346,6E2346,0.0,0.0,Asia,Kolkata,2021-09-21,06:02:00,2021-09-21,07:52:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Blue Dart Aviation,BZ,102,BZ102,15.0,0.0,Asia,Kolkata,2021-09-21,06:30:00,2021-09-21,08:15:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Dubai,DXB,Emirates,EK,511,EK511,8.0,0.0,Asia,Dubai,2021-09-21,11:07:00,2021-09-21,12:43:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2567,6E2567,12.0,0.0,Asia,Kolkata,2021-09-21,09:06:00,2021-09-21,10:23:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,927,UK927,6.0,0.0,Asia,Kolkata,2021-09-21,09:35:00,2021-09-21,11:15:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2615,6E2615,0.0,0.0,Asia,Kolkata,2021-09-21,07:16:00,2021-09-21,08:29:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,18.0,2.0,Asia,Kolkata,2021-09-21,14:07:00,2021-09-21,15:18:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Borjhar,GAU,IndiGo,6E,2574,6E2574,8.0,0.0,Asia,Kolkata,2021-09-21,12:38:00,2021-09-21,14:46:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Alliance Air,9I,887,9I887,19.0,0.0,Asia,Kolkata,2021-09-21,06:39:00,2021-09-21,08:31:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Frankfurt International Airport,FRA,Air Canada,AC,9353,AC9353,21.0,19.0,Europe,Berlin,2021-09-21,03:10:00,2021-09-21,07:59:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Air India,AI,9887,AI9887,19.0,0.0,Asia,Kolkata,2021-09-21,06:39:00,2021-09-21,08:31:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5821,BA5821,8.0,0.0,Asia,Kolkata,2021-09-21,06:37:00,2021-09-21,07:43:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,British Airways,BA,5849,BA5849,6.0,0.0,Asia,Kolkata,2021-09-21,08:56:00,2021-09-21,10:31:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,6573,6E6573,3.0,0.0,Asia,Kolkata,2021-09-21,07:22:00,2021-09-21,09:14:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5823,BA5823,21.0,0.0,Asia,Kolkata,2021-09-21,09:05:00,2021-09-21,10:11:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Cochin International,COK,AirAsia India,I5,791,I5791,16.0,0.0,Asia,Kolkata,2021-09-21,05:01:00,2021-09-21,07:41:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Blue Dart Aviation,BZ,481,BZ481,21.0,0.0,Asia,Kolkata,2021-09-21,01:26:00,2021-09-21,02:33:00,21-09-2021
2021-09-21,landed,Indira Gandhi International,DEL,Charles De Gaulle,CDG,Air India,AI,143,AI143,18.0,0.0,Europe,Paris,2021-09-21,01:58:00,2021-09-21,07:15:00,21-09-2021
