Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-03,landed,Indira Gandhi International,DEL,Aizawl,AJL,IndiGo,6E,2308,6E2308,0.0,0.0,Asia,Kolkata,2021-09-03,11:29:00,2021-09-03,13:50:00,03-09-2021
2021-09-03,landed,Indira Gandhi International,DEL,Gorakhpur,GOP,IndiGo,6E,6245,6E6245,17.0,0.0,Asia,Kolkata,2021-09-03,13:51:00,2021-09-03,14:57:00,03-09-2021
2021-09-03,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,SpiceJet,SG,9333,SG9333,14.0,0.0,Asia,Kolkata,2021-09-03,03:13:00,2021-09-03,05:04:00,03-09-2021
2021-09-03,landed,Indira Gandhi International,DEL,Dubai,DXB,Emirates,EK,511,EK511,12.0,0.0,Asia,Dubai,2021-09-03,11:12:00,2021-09-03,12:33:00,03-09-2021
2021-09-03,landed,Indira Gandhi International,DEL,Frankfurt International Airport,FRA,Air India,AI,121,AI121,13.0,6.0,Europe,Berlin,2021-09-03,06:33:00,2021-09-03,11:21:00,03-09-2021
2021-09-03,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2615,6E2615,0.0,0.0,Asia,Kolkata,2021-09-03,07:17:00,2021-09-03,08:28:00,03-09-2021
2021-09-03,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Ethiopian Airlines,ET,1137,ET1137,10.0,0.0,Asia,Kolkata,2021-09-03,06:59:00,2021-09-03,08:42:00,03-09-2021
2021-09-03,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,12.0,0.0,Asia,Kolkata,2021-09-03,14:02:00,2021-09-03,15:12:00,03-09-2021
2021-09-03,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Alliance Air,9I,887,9I887,13.0,0.0,Asia,Kolkata,2021-09-03,06:33:00,2021-09-03,08:24:00,03-09-2021
2021-09-03,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,2214,6E2214,0.0,0.0,Asia,Kolkata,2021-09-03,02:39:00,2021-09-03,04:30:00,03-09-2021
2021-09-03,landed,Indira Gandhi International,DEL,Goa International,GOI,Vistara,UK,847,UK847,15.0,0.0,Asia,Kolkata,2021-09-03,11:24:00,2021-09-03,13:28:00,03-09-2021
