Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-12,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,161,6E161,11.0,0.0,Asia,Kolkata,2021-09-12,16:01:00,2021-09-12,17:10:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,2513,6E2513,10.0,0.0,Asia,Kolkata,2021-09-12,09:40:00,2021-09-12,11:32:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2615,6E2615,0.0,0.0,Asia,Kolkata,2021-09-12,07:19:00,2021-09-12,08:30:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,23.0,8.0,Asia,Kolkata,2021-09-12,14:12:00,2021-09-12,15:32:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Dubai,DXB,SpiceJet,SG,705,SG705,42.0,0.0,Asia,Dubai,2021-09-12,01:27:00,2021-09-12,02:57:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,995,UK995,21.0,0.0,Asia,Kolkata,2021-09-12,10:41:00,2021-09-12,12:20:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5821,BA5821,11.0,0.0,Asia,Kolkata,2021-09-12,06:41:00,2021-09-12,07:49:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,SpiceJet,SG,7616,SG7616,0.0,0.0,Asia,Kolkata,2021-09-12,04:48:00,2021-09-12,07:13:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,927,UK927,20.0,0.0,Asia,Kolkata,2021-09-12,09:50:00,2021-09-12,11:28:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Dibrugarh,DIB,IndiGo,6E,6166,6E6166,11.0,0.0,Asia,Kolkata,2021-09-12,05:25:00,2021-09-12,07:56:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Blue Dart Aviation,BZ,481,BZ481,37.0,10.0,Asia,Kolkata,2021-09-12,01:42:00,2021-09-12,02:49:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Frankfurt International Airport,FRA,Lufthansa,LH,761,LH761,84.0,54.0,Europe,Berlin,2021-09-12,04:13:00,2021-09-12,08:34:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Dubai,DXB,Emirates,EK,513,EK513,10.0,0.0,Asia,Dubai,2021-09-12,04:24:00,2021-09-12,05:47:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Ethiopian Airlines,ET,1137,ET1137,8.0,0.0,Asia,Kolkata,2021-09-12,07:07:00,2021-09-12,08:51:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Vistara,UK,959,UK959,11.0,0.0,Asia,Kolkata,2021-09-12,06:41:00,2021-09-12,07:49:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,2306,6E2306,12.0,0.0,Asia,Kolkata,2021-09-12,14:56:00,2021-09-12,16:47:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,SpiceJet,SG,7401,SG7401,0.0,0.0,Asia,Kolkata,2021-09-12,02:20:00,2021-09-12,04:24:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Cochin International,COK,United Airlines,UA,7752,UA7752,8.0,0.0,Asia,Kolkata,2021-09-12,06:02:00,2021-09-12,08:44:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Cochin International,COK,Air India,AI,512,AI512,12.0,0.0,Asia,Kolkata,2021-09-12,14:21:00,2021-09-12,17:20:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Raja Sansi International Airport,ATQ,IndiGo,6E,322,6E322,19.0,0.0,Asia,Kolkata,2021-09-12,11:14:00,2021-09-12,11:58:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Charles De Gaulle,CDG,Air France,AF,225,AF225,34.0,0.0,Europe,Paris,2021-09-12,01:48:00,2021-09-12,07:13:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,963,UK963,7.0,0.0,Asia,Kolkata,2021-09-12,08:56:00,2021-09-12,10:33:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Doha International,DOH,Qatar Airways,QR,579,QR579,32.0,0.0,Asia,Qatar,2021-09-12,03:57:00,2021-09-12,04:45:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Borjhar,GAU,IndiGo,6E,2574,6E2574,10.0,0.0,Asia,Kolkata,2021-09-12,12:40:00,2021-09-12,14:44:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Raja Sansi International Airport,ATQ,Vistara,UK,691,UK691,21.0,0.0,Asia,Kolkata,2021-09-12,14:00:00,2021-09-12,14:47:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Abu Dhabi International,AUH,Alitalia,AZ,5702,AZ5702,14.0,0.0,Asia,Dubai,2021-09-12,04:58:00,2021-09-12,06:30:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Borjhar,GAU,IndiGo,6E,2001,6E2001,16.0,0.0,Asia,Kolkata,2021-09-12,15:50:00,2021-09-12,17:57:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Abu Dhabi International,AUH,Etihad Airways,EY,211,EY211,14.0,0.0,Asia,Dubai,2021-09-12,04:58:00,2021-09-12,06:30:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Dubai,DXB,Emirates,EK,511,EK511,12.0,0.0,Asia,Dubai,2021-09-12,11:11:00,2021-09-12,12:30:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Abu Dhabi International,AUH,flynas,XY,3211,XY3211,14.0,0.0,Asia,Dubai,2021-09-12,04:58:00,2021-09-12,06:30:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,933,UK933,13.0,0.0,Asia,Kolkata,2021-09-12,15:42:00,2021-09-12,17:28:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Air India,AI,401,AI401,8.0,0.0,Asia,Kolkata,2021-09-12,07:07:00,2021-09-12,08:51:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,2346,6E2346,0.0,0.0,Asia,Kolkata,2021-09-12,06:02:00,2021-09-12,07:57:00,12-09-2021
2021-09-12,landed,Indira Gandhi International,DEL,Bhubaneswar,BBI,IndiGo,6E,296,6E296,17.0,0.0,Asia,Kolkata,2021-09-12,10:36:00,2021-09-12,12:20:00,12-09-2021
