Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-10,landed,Indira Gandhi International,DEL,Aizawl,AJL,IndiGo,6E,2308,6E2308,6.0,0.0,Asia,Kolkata,2021-09-10,11:35:00,2021-09-10,13:53:00,10-09-2021
2021-09-10,landed,Indira Gandhi International,DEL,Dibrugarh,DIB,IndiGo,6E,2051,6E2051,9.0,0.0,Asia,Kolkata,2021-09-10,11:49:00,2021-09-10,14:16:00,10-09-2021
2021-09-10,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,GoAir,G8,336,G8336,6.0,0.0,Asia,Kolkata,2021-09-10,14:35:00,2021-09-10,16:19:00,10-09-2021
2021-09-10,landed,Indira Gandhi International,DEL,Dubai,DXB,SpiceJet,SG,705,SG705,17.0,0.0,Asia,Dubai,2021-09-10,01:02:00,2021-09-10,02:34:00,10-09-2021
2021-09-10,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2567,6E2567,0.0,0.0,Asia,Kolkata,2021-09-10,08:53:00,2021-09-10,10:08:00,10-09-2021
2021-09-10,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,2346,6E2346,0.0,0.0,Asia,Kolkata,2021-09-10,06:03:00,2021-09-10,07:53:00,10-09-2021
2021-09-10,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2615,6E2615,6.0,0.0,Asia,Kolkata,2021-09-10,07:26:00,2021-09-10,08:36:00,10-09-2021
2021-09-10,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,SpiceJet,SG,8701,SG8701,13.0,0.0,Asia,Kolkata,2021-09-10,07:02:00,2021-09-10,08:38:00,10-09-2021
2021-09-10,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,8.0,0.0,Asia,Kolkata,2021-09-10,13:57:00,2021-09-10,15:12:00,10-09-2021
2021-09-10,landed,Indira Gandhi International,DEL,Dehra Dun,DED,IndiGo,6E,7367,6E7367,22.0,12.0,Asia,Kolkata,2021-09-10,12:46:00,2021-09-10,13:31:00,10-09-2021
2021-09-10,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Alliance Air,9I,887,9I887,13.0,0.0,Asia,Kolkata,2021-09-10,06:33:00,2021-09-10,08:22:00,10-09-2021
2021-09-10,landed,Indira Gandhi International,DEL,Borjhar,GAU,IndiGo,6E,2574,6E2574,24.0,1.0,Asia,Kolkata,2021-09-10,12:54:00,2021-09-10,14:58:00,10-09-2021
2021-09-10,landed,Indira Gandhi International,DEL,Frankfurt International Airport,FRA,Air Canada,AC,9353,AC9353,19.0,0.0,Europe,Berlin,2021-09-10,03:09:00,2021-09-10,07:24:00,10-09-2021
2021-09-10,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Air India,AI,9887,AI9887,13.0,0.0,Asia,Kolkata,2021-09-10,06:33:00,2021-09-10,08:22:00,10-09-2021
2021-09-10,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Blue Dart Aviation,BZ,201,BZ201,26.0,4.0,Asia,Kolkata,2021-09-10,02:16:00,2021-09-10,04:13:00,10-09-2021
