Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-26,landed,Indira Gandhi International,DEL,Almaty,ALA,IndiGo,6E,8517,6E8517,57.0,15.0,Asia,Almaty,2021-09-26,11:57:00,2021-09-26,17:09:00,26-09-2021
2021-09-26,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,161,6E161,9.0,0.0,Asia,Kolkata,2021-09-26,15:58:00,2021-09-26,17:05:00,26-09-2021
2021-09-26,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,943,UK943,12.0,0.0,Asia,Kolkata,2021-09-26,07:42:00,2021-09-26,09:14:00,26-09-2021
2021-09-26,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,IndiGo,6E,171,6E171,16.0,0.0,Asia,Kolkata,2021-09-26,10:26:00,2021-09-26,12:01:00,26-09-2021
2021-09-26,landed,Indira Gandhi International,DEL,Charles De Gaulle,CDG,Air France,AF,225,AF225,36.0,11.0,Europe,Paris,2021-09-26,01:50:00,2021-09-26,07:17:00,26-09-2021
2021-09-26,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2615,6E2615,7.0,0.0,Asia,Kolkata,2021-09-26,07:27:00,2021-09-26,08:37:00,26-09-2021
2021-09-26,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,2513,6E2513,19.0,5.0,Asia,Kolkata,2021-09-26,09:49:00,2021-09-26,11:40:00,26-09-2021
2021-09-26,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,16.0,5.0,Asia,Kolkata,2021-09-26,14:06:00,2021-09-26,15:20:00,26-09-2021
2021-09-26,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,995,UK995,25.0,0.0,Asia,Kolkata,2021-09-26,10:44:00,2021-09-26,12:22:00,26-09-2021
2021-09-26,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,British Airways,BA,5847,BA5847,13.0,0.0,Asia,Kolkata,2021-09-26,06:12:00,2021-09-26,07:44:00,26-09-2021
2021-09-26,landed,Indira Gandhi International,DEL,Dibrugarh,DIB,IndiGo,6E,6166,6E6166,3.0,0.0,Asia,Kolkata,2021-09-26,05:17:00,2021-09-26,07:42:00,26-09-2021
