Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-18,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,2306,6E2306,11.0,0.0,Asia,Kolkata,2021-09-18,14:55:00,2021-09-18,16:53:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,SpiceJet,SG,263,SG263,11.0,0.0,Asia,Kolkata,2021-09-18,05:55:00,2021-09-18,07:43:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,British Airways,BA,5851,BA5851,24.0,0.0,Asia,Kolkata,2021-09-18,10:44:00,2021-09-18,12:15:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2567,6E2567,5.0,0.0,Asia,Kolkata,2021-09-18,08:59:00,2021-09-18,10:06:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Charles De Gaulle,CDG,Air France,AF,225,AF225,20.0,0.0,Europe,Paris,2021-09-18,01:34:00,2021-09-18,07:17:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,993,UK993,11.0,0.0,Asia,Kolkata,2021-09-18,12:55:00,2021-09-18,14:32:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2615,6E2615,0.0,0.0,Asia,Kolkata,2021-09-18,07:20:00,2021-09-18,08:28:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air India,AI,678,AI678,4.0,0.0,Asia,Kolkata,2021-09-18,09:03:00,2021-09-18,10:42:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,13.0,0.0,Asia,Kolkata,2021-09-18,14:03:00,2021-09-18,15:08:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Alliance Air,9I,887,9I887,18.0,0.0,Asia,Kolkata,2021-09-18,11:12:00,2021-09-18,12:56:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Dehra Dun,DED,IndiGo,6E,2966,6E2966,3.0,0.0,Asia,Kolkata,2021-09-18,14:28:00,2021-09-18,14:59:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Cochin International,COK,AirAsia India,I5,791,I5791,3.0,0.0,Asia,Kolkata,2021-09-18,04:47:00,2021-09-18,07:35:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Air India,AI,9887,AI9887,18.0,0.0,Asia,Kolkata,2021-09-18,11:12:00,2021-09-18,12:56:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,United Airlines,UA,7751,UA7751,8.0,6.0,Asia,Kolkata,2021-09-18,06:27:00,2021-09-18,08:25:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,IndiGo,6E,6125,6E6125,11.0,0.0,Asia,Kolkata,2021-09-18,06:20:00,2021-09-18,08:00:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5821,BA5821,8.0,0.0,Asia,Kolkata,2021-09-18,06:37:00,2021-09-18,07:42:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5823,BA5823,24.0,0.0,Asia,Kolkata,2021-09-18,09:08:00,2021-09-18,10:17:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,2346,6E2346,15.0,0.0,Asia,Kolkata,2021-09-18,06:20:00,2021-09-18,08:07:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,963,UK963,22.0,0.0,Asia,Kolkata,2021-09-18,09:12:00,2021-09-18,10:54:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,IndiGo,6E,171,6E171,22.0,0.0,Asia,Kolkata,2021-09-18,10:32:00,2021-09-18,12:09:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Blue Dart Aviation,BZ,481,BZ481,13.0,0.0,Asia,Kolkata,2021-09-18,01:18:00,2021-09-18,02:25:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Charles De Gaulle,CDG,KLM,KL,2369,KL2369,20.0,0.0,Europe,Paris,2021-09-18,01:34:00,2021-09-18,07:17:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,GoAir,G8,719,G8719,0.0,0.0,Asia,Kolkata,2021-09-18,06:47:00,2021-09-18,08:02:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Charles De Gaulle,CDG,Air India,AI,143,AI143,20.0,0.0,Europe,Paris,2021-09-18,02:15:00,2021-09-18,07:19:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Dehra Dun,DED,IndiGo,6E,2116,6E2116,7.0,11.0,Asia,Kolkata,2021-09-18,09:57:00,2021-09-18,10:41:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,SpiceJet,SG,8131,SG8131,15.0,0.0,Asia,Kolkata,2021-09-18,16:04:00,2021-09-18,17:09:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Cochin International,COK,British Airways,BA,5867,BA5867,0.0,0.0,Asia,Kolkata,2021-09-18,05:54:00,2021-09-18,08:37:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,United Airlines,UA,7746,UA7746,24.0,0.0,Asia,Kolkata,2021-09-18,09:08:00,2021-09-18,10:17:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Vistara,UK,747,UK747,8.0,6.0,Asia,Kolkata,2021-09-18,06:27:00,2021-09-18,08:25:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Bangalore International Airport,BLR,Vistara,UK,815,UK815,7.0,0.0,Asia,Kolkata,2021-09-18,08:16:00,2021-09-18,10:33:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Vistara,UK,959,UK959,8.0,0.0,Asia,Kolkata,2021-09-18,06:37:00,2021-09-18,07:42:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,British Airways,BA,5847,BA5847,18.0,6.0,Asia,Kolkata,2021-09-18,06:17:00,2021-09-18,07:49:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Vistara,UK,979,UK979,24.0,0.0,Asia,Kolkata,2021-09-18,09:08:00,2021-09-18,10:17:00,18-09-2021
2021-09-18,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air India,AI,865,AI865,20.0,0.0,Asia,Kolkata,2021-09-18,11:00:00,2021-09-18,12:31:00,18-09-2021
