Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-02,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,British Airways,BA,5851,BA5851,21.0,0.0,Asia,Kolkata,2021-09-02,10:41:00,2021-09-02,12:18:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2567,6E2567,16.0,0.0,Asia,Kolkata,2021-09-02,09:11:00,2021-09-02,10:21:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2615,6E2615,0.0,0.0,Asia,Kolkata,2021-09-02,07:20:00,2021-09-02,08:32:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Goa International,GOI,Air India,AI,885,AI885,20.0,0.0,Asia,Kolkata,2021-09-02,12:29:00,2021-09-02,14:39:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,7.0,0.0,Asia,Kolkata,2021-09-02,13:56:00,2021-09-02,15:10:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Dubai,DXB,SpiceJet,SG,705,SG705,10.0,0.0,Asia,Dubai,2021-09-02,00:54:00,2021-09-02,02:19:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Ethiopian Airlines,ET,1137,ET1137,18.0,0.0,Asia,Kolkata,2021-09-02,07:07:00,2021-09-02,08:53:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Alliance Air,9I,887,9I887,21.0,0.0,Asia,Kolkata,2021-09-02,06:41:00,2021-09-02,08:29:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,933,UK933,12.0,0.0,Asia,Kolkata,2021-09-02,15:42:00,2021-09-02,17:21:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Borjhar,GAU,IndiGo,6E,2939,6E2939,0.0,0.0,Asia,Kolkata,2021-09-02,06:51:00,2021-09-02,08:56:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Air India,AI,9887,AI9887,21.0,0.0,Asia,Kolkata,2021-09-02,06:41:00,2021-09-02,08:29:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5821,BA5821,14.0,0.0,Asia,Kolkata,2021-09-02,06:44:00,2021-09-02,07:53:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Frankfurt International Airport,FRA,Lufthansa,LH,761,LH761,26.0,15.0,Europe,Berlin,2021-09-02,03:15:00,2021-09-02,07:54:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5823,BA5823,20.0,0.0,Asia,Kolkata,2021-09-02,09:04:00,2021-09-02,10:10:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air India,AI,865,AI865,15.0,0.0,Asia,Kolkata,2021-09-02,10:54:00,2021-09-02,12:30:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Cochin International,COK,United Airlines,UA,7752,UA7752,3.0,0.0,Asia,Kolkata,2021-09-02,06:03:00,2021-09-02,08:50:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Blue Dart Aviation,BZ,481,BZ481,29.0,2.0,Asia,Kolkata,2021-09-02,01:34:00,2021-09-02,02:42:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,GoAir,G8,719,G8719,0.0,0.0,Asia,Kolkata,2021-09-02,07:08:00,2021-09-02,08:22:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,British Airways,BA,5859,BA5859,15.0,3.0,Asia,Kolkata,2021-09-02,06:29:00,2021-09-02,08:19:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,SpiceJet,SG,8131,SG8131,18.0,0.0,Asia,Kolkata,2021-09-02,16:07:00,2021-09-02,17:17:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,GoAir,G8,336,G8336,31.0,9.0,Asia,Kolkata,2021-09-02,15:01:00,2021-09-02,16:49:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,United Airlines,UA,7746,UA7746,20.0,0.0,Asia,Kolkata,2021-09-02,09:04:00,2021-09-02,10:10:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Dubai,DXB,flydubai,FZ,432,FZ432,16.0,0.0,Asia,Dubai,2021-09-02,07:10:00,2021-09-02,08:44:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Vistara,UK,959,UK959,14.0,0.0,Asia,Kolkata,2021-09-02,06:44:00,2021-09-02,07:53:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Vistara,UK,979,UK979,20.0,0.0,Asia,Kolkata,2021-09-02,09:04:00,2021-09-02,10:10:00,02-09-2021
2021-09-02,landed,Indira Gandhi International,DEL,Goa International,GOI,IndiGo,6E,2358,6E2358,15.0,0.0,Asia,Kolkata,2021-09-02,10:19:00,2021-09-02,12:26:00,02-09-2021
