Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-19,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,161,6E161,21.0,0.0,Asia,Kolkata,2021-09-19,16:11:00,2021-09-19,17:19:00,19-09-2021
2021-09-19,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Asiana Airlines,OZ,6381,OZ6381,16.0,0.0,Asia,Kolkata,2021-09-19,07:15:00,2021-09-19,08:58:00,19-09-2021
2021-09-19,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,943,UK943,18.0,0.0,Asia,Kolkata,2021-09-19,07:48:00,2021-09-19,09:23:00,19-09-2021
2021-09-19,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air India,AI,865,AI865,23.0,0.0,Asia,Kolkata,2021-09-19,11:02:00,2021-09-19,12:34:00,19-09-2021
2021-09-19,landed,Indira Gandhi International,DEL,Bangalore International Airport,BLR,Vistara,UK,815,UK815,11.0,0.0,Asia,Kolkata,2021-09-19,08:20:00,2021-09-19,10:37:00,19-09-2021
2021-09-19,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2615,6E2615,5.0,0.0,Asia,Kolkata,2021-09-19,07:24:00,2021-09-19,08:37:00,19-09-2021
2021-09-19,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,9.0,0.0,Asia,Kolkata,2021-09-19,13:59:00,2021-09-19,15:12:00,19-09-2021
2021-09-19,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,British Airways,BA,5859,BA5859,7.0,1.0,Asia,Kolkata,2021-09-19,06:27:00,2021-09-19,08:17:00,19-09-2021
2021-09-19,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,995,UK995,15.0,0.0,Asia,Kolkata,2021-09-19,10:34:00,2021-09-19,12:09:00,19-09-2021
2021-09-19,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air India,AI,678,AI678,8.0,0.0,Asia,Kolkata,2021-09-19,09:08:00,2021-09-19,10:45:00,19-09-2021
2021-09-19,landed,Indira Gandhi International,DEL,Gaggal Airport,DHM,SpiceJet,SG,2345,SG2345,18.0,30.0,Asia,Kolkata,2021-09-19,07:47:00,2021-09-19,09:30:00,19-09-2021
2021-09-19,landed,Indira Gandhi International,DEL,Dehra Dun,DED,IndiGo,6E,2966,6E2966,24.0,1.0,Asia,Kolkata,2021-09-19,14:49:00,2021-09-19,15:20:00,19-09-2021
2021-09-19,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5821,BA5821,5.0,0.0,Asia,Kolkata,2021-09-19,06:34:00,2021-09-19,07:49:00,19-09-2021
2021-09-19,landed,Indira Gandhi International,DEL,Cochin International,COK,IndiGo,6E,2241,6E2241,18.0,0.0,Asia,Kolkata,2021-09-19,11:13:00,2021-09-19,13:53:00,19-09-2021
2021-09-19,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,IndiGo,6E,6202,6E6202,19.0,0.0,Asia,Kolkata,2021-09-19,12:18:00,2021-09-19,13:58:00,19-09-2021
