Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-28,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,British Airways,BA,5851,BA5851,9.0,0.0,Asia,Kolkata,2021-09-28,10:29:00,2021-09-28,12:04:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Doha International,DOH,Qatar Airways,QR,581,QR581,8.0,0.0,Asia,Qatar,2021-09-28,09:42:00,2021-09-28,10:32:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Air India,AI,401,AI401,8.0,0.0,Asia,Kolkata,2021-09-28,07:08:00,2021-09-28,08:50:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Kozhikode Airport,CCJ,IndiGo,6E,5913,6E5913,0.0,0.0,Asia,Kolkata,2021-09-28,05:27:00,2021-09-28,08:01:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air India,AI,865,AI865,8.0,0.0,Asia,Kolkata,2021-09-28,10:48:00,2021-09-28,12:32:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2567,6E2567,0.0,0.0,Asia,Kolkata,2021-09-28,08:52:00,2021-09-28,10:16:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2615,6E2615,0.0,0.0,Asia,Kolkata,2021-09-28,07:16:00,2021-09-28,08:26:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,963,UK963,10.0,0.0,Asia,Kolkata,2021-09-28,09:00:00,2021-09-28,10:37:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Cochin International,COK,Vistara,UK,883,UK883,9.0,0.0,Asia,Kolkata,2021-09-28,06:04:00,2021-09-28,08:49:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,19.0,4.0,Asia,Kolkata,2021-09-28,14:08:00,2021-09-28,15:15:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Alliance Air,9I,887,9I887,13.0,0.0,Asia,Kolkata,2021-09-28,06:32:00,2021-09-28,08:16:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Dubai,DXB,Emirates,EK,513,EK513,14.0,0.0,Asia,Dubai,2021-09-28,04:28:00,2021-09-28,05:47:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Dimapur,DMU,IndiGo,6E,2311,6E2311,8.0,0.0,Asia,Kolkata,2021-09-28,11:28:00,2021-09-28,14:05:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Air India,AI,9887,AI9887,13.0,0.0,Asia,Kolkata,2021-09-28,06:32:00,2021-09-28,08:16:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,GoAir,G8,334,G8334,0.0,0.0,Asia,Kolkata,2021-09-28,07:15:00,2021-09-28,08:53:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5821,BA5821,12.0,0.0,Asia,Kolkata,2021-09-28,06:41:00,2021-09-28,07:47:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Vistara,UK,705,UK705,8.0,0.0,Asia,Kolkata,2021-09-28,07:28:00,2021-09-28,09:24:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5823,BA5823,5.0,0.0,Asia,Kolkata,2021-09-28,08:50:00,2021-09-28,10:00:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,6573,6E6573,10.0,0.0,Asia,Kolkata,2021-09-28,07:30:00,2021-09-28,09:27:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,British Airways,BA,5849,BA5849,10.0,0.0,Asia,Kolkata,2021-09-28,09:00:00,2021-09-28,10:37:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Blue Dart Aviation,BZ,481,BZ481,20.0,0.0,Asia,Kolkata,2021-09-28,01:24:00,2021-09-28,02:30:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Gaggal Airport,DHM,SpiceJet,SG,2982,SG2982,13.0,0.0,Asia,Kolkata,2021-09-28,11:52:00,2021-09-28,12:58:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,SpiceJet,SG,8131,SG8131,32.0,0.0,Asia,Kolkata,2021-09-28,16:21:00,2021-09-28,17:25:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,United Airlines,UA,7746,UA7746,5.0,0.0,Asia,Kolkata,2021-09-28,08:50:00,2021-09-28,10:00:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Vistara,UK,959,UK959,12.0,0.0,Asia,Kolkata,2021-09-28,06:41:00,2021-09-28,07:47:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Dubai,DXB,flydubai,FZ,432,FZ432,35.0,0.0,Asia,Dubai,2021-09-28,07:29:00,2021-09-28,08:57:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Dehra Dun,DED,IndiGo,6E,7367,6E7367,7.0,0.0,Asia,Kolkata,2021-09-28,12:32:00,2021-09-28,13:13:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Vistara,UK,979,UK979,5.0,0.0,Asia,Kolkata,2021-09-28,08:50:00,2021-09-28,10:00:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air India,AI,665,AI665,1.0,0.0,Asia,Kolkata,2021-09-28,08:00:00,2021-09-28,09:35:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Raja Sansi International Airport,ATQ,IndiGo,6E,322,6E322,13.0,0.0,Asia,Kolkata,2021-09-28,11:08:00,2021-09-28,11:55:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,933,UK933,3.0,0.0,Asia,Kolkata,2021-09-28,15:32:00,2021-09-28,17:17:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Raja Sansi International Airport,ATQ,Vistara,UK,691,UK691,14.0,0.0,Asia,Kolkata,2021-09-28,13:53:00,2021-09-28,14:37:00,28-09-2021
2021-09-28,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,995,UK995,9.0,0.0,Asia,Kolkata,2021-09-28,10:29:00,2021-09-28,12:04:00,28-09-2021
