Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-07,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Air India,AI,401,AI401,21.0,0.0,Asia,Kolkata,2021-09-07,07:10:00,2021-09-07,09:04:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Goa International,GOI,AirAsia India,I5,798,I5798,2.0,0.0,Asia,Kolkata,2021-09-07,12:42:00,2021-09-07,14:52:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Cochin International,COK,AirAsia India,I5,791,I5791,0.0,0.0,Asia,Kolkata,2021-09-07,04:44:00,2021-09-07,07:26:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,993,UK993,16.0,0.0,Asia,Kolkata,2021-09-07,13:06:00,2021-09-07,14:44:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Borjhar,GAU,Vistara,UK,721,UK721,16.0,0.0,Asia,Kolkata,2021-09-07,15:16:00,2021-09-07,17:23:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2567,6E2567,7.0,0.0,Asia,Kolkata,2021-09-07,09:02:00,2021-09-07,10:09:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Blue Dart Aviation,BZ,102,BZ102,10.0,0.0,Asia,Kolkata,2021-09-07,06:25:00,2021-09-07,08:15:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2615,6E2615,2.0,0.0,Asia,Kolkata,2021-09-07,07:21:00,2021-09-07,08:27:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Borjhar,GAU,AirAsia India,I5,787,I5787,0.0,0.0,Asia,Kolkata,2021-09-07,06:09:00,2021-09-07,08:16:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,10.0,0.0,Asia,Kolkata,2021-09-07,13:59:00,2021-09-07,15:05:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Alliance Air,9I,887,9I887,18.0,0.0,Asia,Kolkata,2021-09-07,06:37:00,2021-09-07,08:19:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Goa International,GOI,British Airways,BA,5871,BA5871,11.0,0.0,Asia,Kolkata,2021-09-07,11:20:00,2021-09-07,13:23:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Borjhar,GAU,IndiGo,6E,2574,6E2574,8.0,0.0,Asia,Kolkata,2021-09-07,12:37:00,2021-09-07,15:03:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Air India,AI,9887,AI9887,18.0,0.0,Asia,Kolkata,2021-09-07,06:37:00,2021-09-07,08:19:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,933,UK933,10.0,0.0,Asia,Kolkata,2021-09-07,15:39:00,2021-09-07,17:23:00,07-09-2021
2021-09-07,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5821,BA5821,11.0,0.0,Asia,Kolkata,2021-09-07,06:41:00,2021-09-07,07:53:00,07-09-2021
