Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-27,landed,Indira Gandhi International,DEL,Bole International,ADD,Air India,AI,7553,AI7553,28.0,0.0,Africa,Addis_Ababa,2021-09-27,00:57:00,2021-09-27,04:03:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Bole International,ADD,Ethiopian Airlines,ET,687,ET687,28.0,0.0,Africa,Addis_Ababa,2021-09-27,00:57:00,2021-09-27,04:03:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Kozhikode Airport,CCJ,IndiGo,6E,5913,6E5913,0.0,0.0,Asia,Kolkata,2021-09-27,05:28:00,2021-09-27,08:10:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,SpiceJet,SG,8701,SG8701,20.0,0.0,Asia,Kolkata,2021-09-27,07:10:00,2021-09-27,08:49:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Doha International,DOH,Qatar Airways,QR,581,QR581,15.0,0.0,Asia,Qatar,2021-09-27,09:50:00,2021-09-27,10:46:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Air India,AI,401,AI401,11.0,0.0,Asia,Kolkata,2021-09-27,07:11:00,2021-09-27,08:53:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2567,6E2567,18.0,0.0,Asia,Kolkata,2021-09-27,09:13:00,2021-09-27,10:28:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2615,6E2615,3.0,0.0,Asia,Kolkata,2021-09-27,07:22:00,2021-09-27,08:33:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,GoAir,G8,334,G8334,5.0,0.0,Asia,Kolkata,2021-09-27,08:04:00,2021-09-27,09:46:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Borjhar,GAU,IndiGo,6E,2001,6E2001,0.0,0.0,Asia,Kolkata,2021-09-27,15:34:00,2021-09-27,17:40:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,13.0,0.0,Asia,Kolkata,2021-09-27,14:03:00,2021-09-27,15:14:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Alliance Air,9I,887,9I887,23.0,1.0,Asia,Kolkata,2021-09-27,06:42:00,2021-09-27,08:30:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Dubai,DXB,Emirates,EK,511,EK511,19.0,0.0,Asia,Dubai,2021-09-27,11:19:00,2021-09-27,12:37:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Air India,AI,9887,AI9887,23.0,1.0,Asia,Kolkata,2021-09-27,06:42:00,2021-09-27,08:30:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,IndiGo,6E,6387,6E6387,12.0,0.0,Asia,Kolkata,2021-09-27,09:06:00,2021-09-27,10:47:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5821,BA5821,20.0,0.0,Asia,Kolkata,2021-09-27,06:49:00,2021-09-27,07:57:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5823,BA5823,16.0,0.0,Asia,Kolkata,2021-09-27,09:01:00,2021-09-27,10:07:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,2214,6E2214,5.0,0.0,Asia,Kolkata,2021-09-27,02:50:00,2021-09-27,04:38:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Vistara,UK,705,UK705,17.0,1.0,Asia,Kolkata,2021-09-27,07:36:00,2021-09-27,09:25:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,995,UK995,10.0,0.0,Asia,Kolkata,2021-09-27,10:29:00,2021-09-27,12:02:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,IndiGo,6E,6202,6E6202,11.0,0.0,Asia,Kolkata,2021-09-27,12:10:00,2021-09-27,13:45:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Doha International,DOH,Qatar Airways,QR,579,QR579,26.0,0.0,Asia,Qatar,2021-09-27,03:51:00,2021-09-27,04:36:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,United Airlines,UA,7746,UA7746,16.0,0.0,Asia,Kolkata,2021-09-27,09:01:00,2021-09-27,10:07:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Newark Liberty International,EWR,Air India,AI,105,AI105,23.0,23.0,America,New_York,2021-09-27,02:43:00,2021-09-27,08:18:00,27-09-2021
2021-09-27,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Vistara,UK,959,UK959,20.0,0.0,Asia,Kolkata,2021-09-27,06:49:00,2021-09-27,07:57:00,27-09-2021
