Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-08,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,British Airways,BA,5851,BA5851,27.0,0.0,Asia,Kolkata,2021-09-08,10:46:00,2021-09-08,12:26:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,933,UK933,11.0,0.0,Asia,Kolkata,2021-09-08,15:40:00,2021-09-08,17:23:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2567,6E2567,4.0,0.0,Asia,Kolkata,2021-09-08,08:58:00,2021-09-08,10:04:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Dubai,DXB,flydubai,FZ,432,FZ432,38.0,0.0,Asia,Dubai,2021-09-08,07:33:00,2021-09-08,08:58:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2615,6E2615,0.0,0.0,Asia,Kolkata,2021-09-08,07:14:00,2021-09-08,08:21:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air India,AI,865,AI865,17.0,0.0,Asia,Kolkata,2021-09-08,10:57:00,2021-09-08,12:40:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,14.0,0.0,Asia,Kolkata,2021-09-08,14:03:00,2021-09-08,15:12:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Ethiopian Airlines,ET,1137,ET1137,13.0,0.0,Asia,Kolkata,2021-09-08,07:13:00,2021-09-08,09:05:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,SpiceJet,SG,8701,SG8701,13.0,0.0,Asia,Kolkata,2021-09-08,07:03:00,2021-09-08,08:35:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Alliance Air,9I,887,9I887,8.0,0.0,Asia,Kolkata,2021-09-08,06:27:00,2021-09-08,08:13:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Goa International,GOI,IndiGo,6E,2358,6E2358,11.0,0.0,Asia,Kolkata,2021-09-08,10:15:00,2021-09-08,12:20:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Doha International,DOH,Qatar Airways,QR,581,QR581,27.0,0.0,Asia,Qatar,2021-09-08,10:02:00,2021-09-08,10:53:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Air India,AI,9887,AI9887,8.0,0.0,Asia,Kolkata,2021-09-08,06:27:00,2021-09-08,08:13:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air India,AI,678,AI678,21.0,0.0,Asia,Kolkata,2021-09-08,09:21:00,2021-09-08,11:03:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5821,BA5821,9.0,0.0,Asia,Kolkata,2021-09-08,06:39:00,2021-09-08,07:44:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5823,BA5823,19.0,0.0,Asia,Kolkata,2021-09-08,09:04:00,2021-09-08,10:08:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Air India,AI,401,AI401,13.0,0.0,Asia,Kolkata,2021-09-08,07:13:00,2021-09-08,09:05:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Cochin International,COK,British Airways,BA,5867,BA5867,8.0,0.0,Asia,Kolkata,2021-09-08,06:08:00,2021-09-08,08:57:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Blue Dart Aviation,BZ,481,BZ481,12.0,0.0,Asia,Kolkata,2021-09-08,01:16:00,2021-09-08,02:21:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,2513,6E2513,11.0,0.0,Asia,Kolkata,2021-09-08,09:40:00,2021-09-08,11:28:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,993,UK993,16.0,0.0,Asia,Kolkata,2021-09-08,13:06:00,2021-09-08,14:40:00,08-09-2021
2021-09-08,landed,Indira Gandhi International,DEL,Borjhar,GAU,IndiGo,6E,2251,6E2251,8.0,0.0,Asia,Kolkata,2021-09-08,05:33:00,2021-09-08,07:39:00,08-09-2021
