Flight Date,Status,Departure Airport,Departure IATA,Arrival Airport,Arrival IATA,Airline Name,Airline IATA,Flight Number,Flight IATA,Departure Delay,Arrival Delay,Arrival Region,Arrival City,Departure Date,Departure Time,Arrival Date,Arrival Time,Date
2021-09-09,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air Mauritius,MK,8029,MK8029,13.0,0.0,Asia,Kolkata,2021-09-09,10:52:00,2021-09-09,12:30:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,British Airways,BA,5849,BA5849,11.0,0.0,Asia,Kolkata,2021-09-09,09:01:00,2021-09-09,10:38:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2567,6E2567,10.0,0.0,Asia,Kolkata,2021-09-09,09:05:00,2021-09-09,10:15:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Dubai,DXB,IndiGo,6E,21,6E21,34.0,0.0,Asia,Dubai,2021-09-09,09:34:00,2021-09-09,11:04:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2615,6E2615,0.0,0.0,Asia,Kolkata,2021-09-09,07:15:00,2021-09-09,08:25:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Charles De Gaulle,CDG,Air France,AF,225,AF225,58.0,11.0,Europe,Paris,2021-09-09,02:13:00,2021-09-09,07:30:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,IndiGo,6E,2733,6E2733,23.0,6.0,Asia,Kolkata,2021-09-09,14:12:00,2021-09-09,15:28:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Air India,AI,401,AI401,28.0,6.0,Asia,Kolkata,2021-09-09,07:28:00,2021-09-09,09:16:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Alliance Air,9I,887,9I887,24.0,0.0,Asia,Kolkata,2021-09-09,06:44:00,2021-09-09,08:30:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,995,UK995,23.0,0.0,Asia,Kolkata,2021-09-09,10:42:00,2021-09-09,12:20:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Frankfurt International Airport,FRA,Vistara,UK,25,UK25,46.0,0.0,Europe,Berlin,2021-09-09,04:01:00,2021-09-09,08:17:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Air India,AI,9887,AI9887,24.0,0.0,Asia,Kolkata,2021-09-09,06:44:00,2021-09-09,08:30:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Frankfurt International Airport,FRA,Air Canada,AC,9353,AC9353,36.0,0.0,Europe,Berlin,2021-09-09,03:26:00,2021-09-09,07:38:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5821,BA5821,9.0,0.0,Asia,Kolkata,2021-09-09,06:39:00,2021-09-09,07:46:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air India,AI,865,AI865,13.0,0.0,Asia,Kolkata,2021-09-09,10:52:00,2021-09-09,12:30:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,British Airways,BA,5823,BA5823,12.0,0.0,Asia,Kolkata,2021-09-09,08:56:00,2021-09-09,10:03:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Cochin International,COK,Air India,AI,512,AI512,16.0,0.0,Asia,Kolkata,2021-09-09,14:26:00,2021-09-09,17:12:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Cologne/bonn,CGN,empty,0,0,0,23.0,19.0,Europe,Berlin,2021-09-09,05:29:00,2021-09-09,10:49:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Blue Dart Aviation,BZ,481,BZ481,14.0,0.0,Asia,Kolkata,2021-09-09,01:19:00,2021-09-09,02:25:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Asiana Airlines,OZ,6381,OZ6381,28.0,6.0,Asia,Kolkata,2021-09-09,07:28:00,2021-09-09,09:16:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,GoAir,G8,719,G8719,4.0,0.0,Asia,Kolkata,2021-09-09,06:59:00,2021-09-09,08:08:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,SpiceJet,SG,8701,SG8701,20.0,0.0,Asia,Kolkata,2021-09-09,07:10:00,2021-09-09,08:47:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Doha International,DOH,Qatar Airways,QR,579,QR579,30.0,0.0,Asia,Qatar,2021-09-09,03:55:00,2021-09-09,04:32:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,United Airlines,UA,7746,UA7746,12.0,0.0,Asia,Kolkata,2021-09-09,08:56:00,2021-09-09,10:03:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Goa International,GOI,Air India,AI,885,AI885,4.0,0.0,Asia,Kolkata,2021-09-09,12:13:00,2021-09-09,14:20:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Vistara,UK,959,UK959,9.0,0.0,Asia,Kolkata,2021-09-09,06:39:00,2021-09-09,07:46:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Goa International,GOI,IndiGo,6E,2358,6E2358,18.0,0.0,Asia,Kolkata,2021-09-09,10:23:00,2021-09-09,12:32:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Dubai,DXB,Air India Express,IX,141,IX141,15.0,0.0,Asia,Dubai,2021-09-09,00:45:00,2021-09-09,02:13:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Ahmedabad,AMD,Vistara,UK,979,UK979,12.0,0.0,Asia,Kolkata,2021-09-09,08:56:00,2021-09-09,10:03:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,GoAir,G8,336,G8336,25.0,3.0,Asia,Kolkata,2021-09-09,14:54:00,2021-09-09,16:41:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Raja Sansi International Airport,ATQ,IndiGo,6E,322,6E322,14.0,0.0,Asia,Kolkata,2021-09-09,11:09:00,2021-09-09,11:55:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air India,AI,887,AI887,17.0,0.0,Asia,Kolkata,2021-09-09,07:16:00,2021-09-09,08:50:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,963,UK963,11.0,0.0,Asia,Kolkata,2021-09-09,09:01:00,2021-09-09,10:38:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,IndiGo,6E,2214,6E2214,3.0,0.0,Asia,Kolkata,2021-09-09,02:48:00,2021-09-09,04:37:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Vistara,UK,943,UK943,9.0,0.0,Asia,Kolkata,2021-09-09,07:38:00,2021-09-09,09:16:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,Air India,AI,665,AI665,19.0,0.0,Asia,Kolkata,2021-09-09,08:18:00,2021-09-09,09:57:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Ethiopian Airlines,ET,1137,ET1137,28.0,6.0,Asia,Kolkata,2021-09-09,07:28:00,2021-09-09,09:16:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Abu Dhabi International,AUH,Alitalia,AZ,5702,AZ5702,19.0,0.0,Asia,Dubai,2021-09-09,05:18:00,2021-09-09,06:43:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Charles De Gaulle,CDG,Air India,AI,143,AI143,24.0,0.0,Europe,Paris,2021-09-09,02:03:00,2021-09-09,06:56:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Abu Dhabi International,AUH,Etihad Airways,EY,211,EY211,19.0,0.0,Asia,Dubai,2021-09-09,05:18:00,2021-09-09,06:43:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Cochin International,COK,British Airways,BA,5867,BA5867,13.0,0.0,Asia,Kolkata,2021-09-09,06:12:00,2021-09-09,08:59:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Abu Dhabi International,AUH,flynas,XY,3211,XY3211,19.0,0.0,Asia,Dubai,2021-09-09,05:18:00,2021-09-09,06:43:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,Vistara,UK,747,UK747,10.0,0.0,Asia,Kolkata,2021-09-09,06:25:00,2021-09-09,08:12:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Netaji Subhas Chandra,CCU,British Airways,BA,5859,BA5859,10.0,0.0,Asia,Kolkata,2021-09-09,06:25:00,2021-09-09,08:12:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Chhatrapati Shivaji International (Sahar International),BOM,SpiceJet,SG,7089,SG7089,16.0,1.0,Asia,Kolkata,2021-09-09,01:00:00,2021-09-09,02:40:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Dubai,DXB,flydubai,FZ,432,FZ432,14.0,0.0,Asia,Dubai,2021-09-09,07:08:00,2021-09-09,08:34:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Bhubaneswar,BBI,IndiGo,6E,296,6E296,28.0,3.0,Asia,Kolkata,2021-09-09,10:48:00,2021-09-09,12:33:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Doha International,DOH,Air India Express,IX,175,IX175,29.0,9.0,Asia,Qatar,2021-09-09,11:04:00,2021-09-09,12:09:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Dubai,DXB,SpiceJet,SG,705,SG705,43.0,0.0,Asia,Dubai,2021-09-09,01:27:00,2021-09-09,02:56:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Doha International,DOH,Qatar Airways,QR,581,QR581,22.0,0.0,Asia,Qatar,2021-09-09,09:56:00,2021-09-09,10:50:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Goa International,GOI,IndiGo,6E,2145,6E2145,1.0,0.0,Asia,Kolkata,2021-09-09,12:11:00,2021-09-09,14:13:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Frankfurt International Airport,FRA,Lufthansa,LH,761,LH761,36.0,3.0,Europe,Berlin,2021-09-09,03:26:00,2021-09-09,07:38:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Vadodara,BDQ,Air India,AI,823,AI823,19.0,0.0,Asia,Kolkata,2021-09-09,05:03:00,2021-09-09,06:12:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Bhopal,BHO,IndiGo,6E,198,6E198,10.0,0.0,Asia,Kolkata,2021-09-09,08:20:00,2021-09-09,09:33:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Bhopal,BHO,IndiGo,6E,5183,6E5183,16.0,0.0,Asia,Kolkata,2021-09-09,11:45:00,2021-09-09,12:50:00,09-09-2021
2021-09-09,landed,Indira Gandhi International,DEL,Bhopal,BHO,Air India,AI,435,AI435,21.0,24.0,Asia,Kolkata,2021-09-09,06:16:00,2021-09-09,07:43:00,09-09-2021
